no,source,destination,protocol,length,info,rf_prob
433,192.168.0.10,219.250.36.130,UDP,93,Ether / IP / UDP / DNS Qry b'rr1---sn-q4fl6nsl.googlevideo.com.',
435,192.168.0.10,172.217.25.174,UDP,1286,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
437,192.168.0.10,172.217.25.174,UDP,885,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
439,142.250.196.98,192.168.0.10,UDP,1292,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
441,142.250.196.98,192.168.0.10,UDP,168,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
443,192.168.0.10,142.250.196.98,UDP,79,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
445,192.168.0.10,142.250.196.98,UDP,81,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
447,192.168.0.10,172.217.131.134,UDP,1292,Ether / IP / UDP 192.168.0.10:57115 > 172.217.131.134:https / Raw,
449,192.168.0.10,142.250.196.98,UDP,125,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
451,192.168.0.10,172.217.25.174,UDP,249,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
453,192.168.0.10,172.217.25.174,UDP,194,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
455,192.168.0.10,172.217.131.134,UDP,350,Ether / IP / UDP 192.168.0.10:57115 > 172.217.131.134:https / Raw,
457,192.168.0.10,172.217.25.174,UDP,193,Ether / IP / UDP 192.168.0.10:50075 > 172.217.25.174:https / Raw,
459,192.168.0.10,142.250.196.98,UDP,75,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
461,142.250.196.98,192.168.0.10,UDP,82,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
463,172.217.25.174,192.168.0.10,UDP,71,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
465,142.250.196.98,192.168.0.10,UDP,163,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
466,192.168.0.10,142.250.196.98,UDP,75,Ether / IP / UDP 192.168.0.10:55332 > 142.250.196.98:https / Raw,
468,172.217.25.174,192.168.0.10,UDP,72,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
470,142.250.196.98,192.168.0.10,UDP,70,Ether / IP / UDP 142.250.196.98:https > 192.168.0.10:55332 / Raw,
472,172.217.25.174,192.168.0.10,UDP,72,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
474,172.217.25.174,192.168.0.10,UDP,1288,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
476,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
478,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
480,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
482,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
484,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
486,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
488,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
490,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
492,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
494,172.217.25.174,192.168.0.10,UDP,1292,Ether / IP / UDP 172.217.25.174:https > 192.168.0.10:50075 / Raw,
